,name,period_0,period_1,period_2,period_3,period_4
disgust,BEN,0.08750000299999999,0.10494479799999999,0.019756839,0.0323502235,0.040768248
surprise,BEN,0.24204649,0.412711809,0.383121851,0.123576666,0.21939461100000002
neutral,BEN,0.06517621600000001,0.035714287,0.030055465,0.0,0.010204082
anger,BEN,0.095618665,0.278218434,0.184555129,0.364856799,0.150211023
sad,BEN,0.10007342699999999,0.065238097,0.107629672,0.199828502,0.06237685
happy,BEN,0.393975156,0.249130559,0.23399132399999997,0.090005074,0.275159804
fear,BEN,0.181864873,0.16638134799999998,0.160044308,0.45722796800000004,0.240887287
disgust,BEVERLY,0.046802059,0.053705471,0.13675461,0.045986,0.0
surprise,BEVERLY,0.32987432,0.254350308,0.148136772,0.279816327,0.123786319
neutral,BEVERLY,0.037357358,0.004201681,0.024096756,0.009038453,0.044531463
anger,BEVERLY,0.419751537,0.238883884,0.262765054,0.082811644,0.133201074
sad,BEVERLY,0.156757845,0.154728292,0.174297795,0.074565279,0.141578596
happy,BEVERLY,0.20924884900000001,0.152477619,0.18091044,0.256647399,0.307729461
fear,BEVERLY,0.189954556,0.158035164,0.130627863,0.162545054,0.17115587100000001
disgust,RICHIE,0.037099599999999996,0.043174991999999995,0.08468147699999999,0.040770467,0.111934492
surprise,RICHIE,0.12159302999999999,0.11773639899999999,0.231692524,0.25853559000000004,0.18939586400000002
neutral,RICHIE,0.029057074,0.069314078,0.017857144,0.09254904800000001,0.0689856516
anger,RICHIE,0.144857041,0.273849977,0.28779806599999996,0.185303074,0.185978025
sad,RICHIE,0.106910351,0.119199782,0.152437812,0.25261341800000003,0.29793880100000003
happy,RICHIE,0.18118975699999998,0.378858818,0.308232501,0.277610056,0.6922856369999999
fear,RICHIE,0.20215728899999996,0.243975238,0.24081997800000005,0.507626367,0.8447980589999999
disgust,EDDIE,0.043123101999999996,0.082004775,0.035244861,0.0,0.035458962
surprise,EDDIE,0.18640276700000002,0.3938689940000001,0.252890793,0.06432874,0.209950967
neutral,EDDIE,0.0225649366,0.038095527,0.004464286,0.020128502,0.032438118
anger,EDDIE,0.268726227,0.278926171,0.112996973,0.178031713,0.124058468
sad,EDDIE,0.306424516,0.134732627,0.19315749299999996,0.131006388,0.11472671300000001
happy,EDDIE,0.17919539700000003,0.40375261500000004,0.37962577399999997,0.324073369,0.280669762
fear,EDDIE,0.161609661,0.23153662399999997,0.200355375,0.132193165,0.152642925
disgust,WILL,0.145768068,0.16698909299999998,0.17466966599999997,0.053573968,0.062613987
surprise,WILL,0.25161134700000004,0.261621104,0.525660098,0.45589764400000005,0.4794534200000001
neutral,WILL,0.11254727199999998,0.020128502,0.043732332,0.023809526,0.04345267
anger,WILL,0.4958692700000001,0.53333372,0.5950703860000001,0.5169996699999999,0.5537532869999999
sad,WILL,0.42894978899999997,0.283272479,0.46553745900000004,0.320958341,0.6544175649999999
happy,WILL,0.662811074,0.42477181199999997,0.5444764990000001,0.8151695369999998,0.5549536729999999
fear,WILL,0.489100875,0.365497698,1.134865443,0.373882919,0.757144119
